,Age,identity_attack
3,23,0.0002806601405609
20,24,0.0002344239765079
30,26,0.0002199447771999
42,55,0.0001238859695149
43,22,0.0003653344756457
44,26,6.219457281986251e-05
45,26,0.0008125214953906
46,26,6.092216790420935e-05
47,26,0.0001064624666469
50,26,0.000141844182508
52,26,0.0001590401370776
54,26,0.0001214363510371
56,26,0.0001924714306369
58,33,8.3348793850746e-05
59,26,9.82248384389095e-05
60,33,7.560215453850105e-05
61,26,0.0001085667754523
63,33,8.115261152852327e-05
65,26,0.0001130826713051
70,30,0.0001192019044538
71,26,0.0002565929025877
72,30,8.46358816488646e-05
73,30,0.0003799866826739
75,30,0.0002015013596974
77,20,0.0001426887756679
78,30,0.000382713828003
79,30,0.0002298470353707
81,30,0.0001666573953116
83,21,0.0002174432156607
85,30,0.0001996202336158
87,30,0.0003113579296041
88,30,0.0001494850585004
89,31,0.0001102672249544
91,20,9.075512934941798e-05
93,29,0.0002619779261294
96,24,8.782484655966982e-05
102,24,8.76961275935173e-05
114,50,0.0001890678540803
117,40,9.361386037198828e-05
119,40,9.630534623283892e-05
122,40,0.0006679535727016
128,40,8.250250539276749e-05
131,40,0.0001502033264841
146,55,0.0041470862925052
150,34,9.189647971652448e-05
154,21,6.378781836247072e-05
159,54,8.006754069356248e-05
160,24,0.0001182824998977
162,25,0.0001024994417093
163,20,7.65491568017751e-05
165,45,0.0005650569801218
166,20,0.0004300519358366
170,31,0.0002309546107426
171,23,0.0001086479751393
173,31,0.0001726077753119
175,23,7.502637890866026e-05
177,20,0.0045994403772056
182,20,8.547917968826368e-05
183,40,9.511014650342986e-05
184,45,0.0662009865045547
185,23,0.0003497610450722
186,23,0.0008696755976416
188,61,0.0001837733580032
189,24,7.037704199319705e-05
191,30,0.0002720176416914
192,46,0.0002694210852496
193,30,0.0001533955655759
194,20,0.0056735035032033
196,30,0.0003061339084524
198,54,8.151551446644589e-05
206,23,0.0013096006587147
207,23,0.0001948438002727
208,26,0.0001038237169268
210,69,0.0001278911804547
211,23,0.0002027612208621
213,21,0.0001670127821853
220,63,9.821069397730751e-05
222,60,7.861985795898363e-05
226,20,6.76482159178704e-05
227,20,6.876641418784857e-05
232,21,6.51508235023357e-05
235,21,9.458736894885078e-05
237,21,7.443283539032564e-05
238,54,7.020384509814903e-05
239,45,9.76882947725244e-05
243,34,0.0001054003150784
244,40,7.590976019855589e-05
245,58,0.0007937581976875
246,39,7.945169636514038e-05
257,26,0.0004013251163996
259,13,0.0002122215810231
273,22,6.378520629368722e-05
274,26,7.669887418160215e-05
276,34,0.0001254408125532
278,33,9.590924310032278e-05
280,26,0.0001479800703236
281,33,7.951544102979824e-05
283,21,7.491770520573482e-05
286,29,0.0001114730839617
293,31,8.068946772255003e-05
298,20,7.871933485148475e-05
299,33,0.0001153601624537
301,26,0.0001536190684419
302,20,0.0021057974081486
305,33,7.234486838569865e-05
306,24,0.0004153789195697
307,33,0.0007429809775203
308,23,0.0001072154409484
310,33,0.0035162551794201
311,24,0.004402354825288
313,61,7.45147917768918e-05
314,61,6.48165587335825e-05
330,34,8.409157453570515e-05
335,36,0.0008187757921405
341,23,0.001546362764202
342,20,0.0001189754693768
343,40,8.748497202759609e-05
344,40,0.000329053873429
345,40,0.0003042986500076
347,45,0.0002039754763245
348,20,8.355043974006549e-05
350,24,6.211111758602783e-05
351,20,0.0062775695696473
354,40,9.01903840713203e-05
355,45,0.0008413016912527
356,40,0.0001308881910517
363,45,0.0001954349136212
364,45,0.0003411372599657
366,40,8.591335790697485e-05
370,36,7.782084867358208e-05
371,36,0.0001497638440923
372,36,8.59682695590891e-05
373,40,6.610356649616733e-05
374,40,6.558742461493239e-05
378,33,7.95064916019328e-05
381,21,6.961225881241262e-05
383,21,8.204652112908661e-05
